Column1,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
41,I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT,2024/4/18,11,2h3MDMf8sd9s4XIzpTBIjX,spotify:track:2h3MDMf8sd9s4XIzpTBIjX,0.768,0.661,0.257,0.00000172,0.176,-13.961,0.045,106.896,0.318,67,156297
42,loml,THE TORTURED POETS DEPARTMENT,2024/4/18,12,6RSG1dKPV5gEvILwJb4QtS,spotify:track:6RSG1dKPV5gEvILwJb4QtS,0.858,0.423,0.272,0,0.108,-12.56,0.0489,78.539,0.195,75,277156
43,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,2024/4/18,13,4q5YezDOIPcoLr8R81x9qy,spotify:track:4q5YezDOIPcoLr8R81x9qy,0.123,0.701,0.751,0,0.15,-8.39,0.0502,129.994,0.22,88,218004
44,The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT,2024/4/18,14,2v1ivOOsgn64g5OywuH55L,spotify:track:2v1ivOOsgn64g5OywuH55L,0.52,0.426,0.41,0,0.338,-9.083,0.0581,142.377,0.263,74,245541
45,The Alchemy,THE TORTURED POETS DEPARTMENT,2024/4/18,15,1dhMTsEZz6ZEquGvmzVoHn,spotify:track:1dhMTsEZz6ZEquGvmzVoHn,0.422,0.64,0.421,0,0.103,-8.802,0.0273,100.056,0.353,73,196900
46,Clara Bow,THE TORTURED POETS DEPARTMENT,2024/4/18,16,1UlhrRvYzbHEyugEDspXUB,spotify:track:1UlhrRvYzbHEyugEDspXUB,0.636,0.686,0.318,0.00144,0.106,-11.046,0.0263,104.088,0.214,67,216662
155,Lavender Haze,Midnights,2022/10/21,1,5jQI2r1RdgtuT8S3iG8zFC,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,0.23,0.735,0.449,0.00126,0.132,-10.56,0.0883,97.05,0.0955,77,202395
156,Maroon,Midnights,2022/10/21,2,3eX0NZfLtGzoLUxPNvRfqm,spotify:track:3eX0NZfLtGzoLUxPNvRfqm,0.0634,0.655,0.384,0.00000145,0.0973,-8.29,0.0349,108.058,0.0384,72,218270
157,Anti-Hero,Midnights,2022/10/21,3,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,0.121,0.633,0.648,0.00000262,0.161,-6.645,0.062,96.888,0.49,85,200690
158,Snow On The Beach (feat. Lana Del Rey),Midnights,2022/10/21,4,1wtOxkiel43cVs0Yux5Q4h,spotify:track:1wtOxkiel43cVs0Yux5Q4h,0.701,0.663,0.321,0.000598,0.107,-13.527,0.0409,110.021,0.153,69,256124
159,"You're On Your Own, Kid",Midnights,2022/10/21,5,4D7BCuvgdJlYvlX5WlN54t,spotify:track:4D7BCuvgdJlYvlX5WlN54t,0.447,0.696,0.39,0.0000155,0.125,-10.331,0.0616,120.032,0.395,77,194206
160,Midnight Rain,Midnights,2022/10/21,6,3rWDp9tBPQR9z6U5YyRSK4,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,0.71,0.604,0.375,0.0000587,0.116,-11.637,0.0633,137.651,0.203,76,174782
161,Question...?,Midnights,2022/10/21,7,0heeNYlwOGuUSe7TgUD27B,spotify:track:0heeNYlwOGuUSe7TgUD27B,0.206,0.654,0.51,0,0.249,-8.767,0.242,108.874,0.105,66,210556
162,Vigilante Shit,Midnights,2022/10/21,8,1xwAWUI6Dj0WGC3KiUPN0O,spotify:track:1xwAWUI6Dj0WGC3KiUPN0O,0.166,0.872,0.267,0.0000218,0.123,-10.764,0.387,79.964,0.168,74,164801
163,Bejeweled,Midnights,2022/10/21,9,3qoftcUZaUOncvIYjFSPdE,spotify:track:3qoftcUZaUOncvIYjFSPdE,0.0593,0.687,0.551,0.000143,0.09,-9.202,0.0787,163.994,0.443,77,194165
164,Labyrinth,Midnights,2022/10/21,10,0A1JLUlkZkp2EFrosoNQi0,spotify:track:0A1JLUlkZkp2EFrosoNQi0,0.797,0.48,0.295,0.333,0.12,-15.512,0.0384,110.018,0.132,70,247962
165,Karma,Midnights,2022/10/21,11,7KokYm8cMIXCsGVmUvKtqf,spotify:track:7KokYm8cMIXCsGVmUvKtqf,0.062,0.64,0.619,0,0.475,-7.108,0.065,90.008,0.121,80,204852
166,Sweet Nothing,Midnights,2022/10/21,12,0wavGRldH0AWyu2zvTz8zb,spotify:track:0wavGRldH0AWyu2zvTz8zb,0.968,0.336,0.161,0.00011,0.115,-14.973,0.0456,176.48,0.407,69,188496
167,Mastermind,Midnights,2022/10/21,13,7FmYn9e7KHMXcxqGSj9LjH,spotify:track:7FmYn9e7KHMXcxqGSj9LjH,0.565,0.66,0.343,0.00134,0.0922,-14.132,0.14,125.96,0.137,72,191039
241,willow,evermore,2020/12/11,1,0lx2cLdOt3piJbcaXIV74f,spotify:track:0lx2cLdOt3piJbcaXIV74f,0.833,0.392,0.574,0.00179,0.145,-9.195,0.17,81.112,0.529,77,214706
242,champagne problems,evermore,2020/12/11,2,0sY6ZUTh4yoctD8VIXz339,spotify:track:0sY6ZUTh4yoctD8VIXz339,0.92,0.462,0.24,0,0.113,-12.077,0.0377,171.319,0.32,77,244000
243,gold rush,evermore,2020/12/11,3,5BK0uqwY9DNfZ630STAEaq,spotify:track:5BK0uqwY9DNfZ630STAEaq,0.83,0.512,0.462,0.166,0.121,-10.491,0.0408,112.05,0.353,67,185320
244,‘tis the damn season,evermore,2020/12/11,4,7dW84mWkdWE5a6lFWxJCBG,spotify:track:7dW84mWkdWE5a6lFWxJCBG,0.735,0.575,0.434,0.0000659,0.105,-8.193,0.0312,145.916,0.348,65,229840
245,tolerate it,evermore,2020/12/11,5,0PurA4JVJ8YQgSVopY8fn6,spotify:track:0PurA4JVJ8YQgSVopY8fn6,0.878,0.316,0.361,0.0000267,0.0797,-10.381,0.0488,74.952,0.221,72,245440
246,"no body, no crime (feat. HAIM)",evermore,2020/12/11,6,3RaT22zZsxVYxxKR7TAaYF,spotify:track:3RaT22zZsxVYxxKR7TAaYF,0.418,0.546,0.613,0,0.103,-7.589,0.0264,79.015,0.535,66,215626
247,happiness,evermore,2020/12/11,7,73YUReisjb3A9ActdLLjJQ,spotify:track:73YUReisjb3A9ActdLLjJQ,0.87,0.559,0.334,0,0.114,-10.733,0.0376,122.079,0.211,64,315146
248,dorothea,evermore,2020/12/11,8,670fUmXf4KQekzbEgaXyPA,spotify:track:670fUmXf4KQekzbEgaXyPA,0.696,0.605,0.488,0,0.129,-8.322,0.0264,119.966,0.354,62,225880
249,coney island (feat. The National),evermore,2020/12/11,9,3k7ne7VmH43ZPWxPdvPUgR,spotify:track:3k7ne7VmH43ZPWxPdvPUgR,0.819,0.537,0.537,0.000904,0.142,-11.266,0.0617,107.895,0.292,61,275320
250,ivy,evermore,2020/12/11,10,19CSr8rwW05VJL2F91KFNK,spotify:track:19CSr8rwW05VJL2F91KFNK,0.855,0.515,0.545,0.0000197,0.0921,-9.277,0.0353,88.856,0.535,66,260440
251,cowboy like me,evermore,2020/12/11,11,1XjHRolIXL2M1EEOUsGGR4,spotify:track:1XjHRolIXL2M1EEOUsGGR4,0.768,0.604,0.517,0.000155,0.123,-9.014,0.0347,127.967,0.511,65,275040
252,long story short,evermore,2020/12/11,12,2o2sgVJIgFXk8GQjWTgI6U,spotify:track:2o2sgVJIgFXk8GQjWTgI6U,0.66,0.546,0.73,0.179,0.0972,-7.704,0.0417,157.895,0.573,62,215920
253,marjorie,evermore,2020/12/11,13,12ntTeqEeTg7GAVpe8Mhpl,spotify:track:12ntTeqEeTg7GAVpe8Mhpl,0.876,0.535,0.561,0.000136,0.115,-11.609,0.0484,96.103,0.287,70,257773
254,closure,evermore,2020/12/11,14,35rdVq36LMHQX0Suw9a6tK,spotify:track:35rdVq36LMHQX0Suw9a6tK,0.835,0.689,0.704,0.00000483,0.134,-10.813,0.245,151.884,0.92,59,180653
255,evermore (feat. Bon Iver),evermore,2020/12/11,15,3O5osWf1rSoKMwe6E9ZaXP,spotify:track:3O5osWf1rSoKMwe6E9ZaXP,0.937,0.39,0.27,0.00227,0.111,-10.673,0.0308,125.177,0.32,63,304106
